Unnamed: 0,Name,AuthorId,Rank,NormalizedName,LastKnownAffiliationId,PaperCount,CitationCount,Unknown,CreateDate
0,Neil Shephard,3175735272.0,15364.0,neil shephard,91136226.0,90.0,85.0,1805.0,2021-07-05
1,Marco Ottaviani,2957860736.0,20533.0,marco ottaviani,,2.0,2.0,0.0,2019-07-23
2,Christian Julliard,231843836.0,16099.0,christian julliard,909854389.0,38.0,24.0,1114.0,2016-06-24
3,Nicola Fuchs-Schündeln,229922470.0,15832.0,nicola fuchsschundeln,114090438.0,83.0,48.0,1654.0,2016-06-24
5,Johannes Spinnewijn,305431955.0,16408.0,johannes spinnewijn,909854389.0,79.0,48.0,497.0,2016-06-24
8,Gabriel Chodorow-Reich,1213069885.0,16189.0,gabriel chodorowreich,136199984.0,59.0,32.0,1003.0,2016-06-24
9,Jorge Padilla,3089208208.0,18955.0,jorge padilla,1333534961.0,9.0,5.0,7.0,2020-10-01
11,V. Bhaskar,2797244421.0,20436.0,v bhaskar,,2.0,2.0,3.0,2018-04-24
12,P. Rey,2019330287.0,17225.0,p rey,200284239.0,32.0,32.0,341.0,2016-06-24
13,J. Padilla,2134476248.0,16679.0,j padilla,102322142.0,12.0,8.0,798.0,2016-06-24
15,Joseph Vavra,3123629922.0,20311.0,joseph vavra,1321305853.0,2.0,2.0,7.0,2021-02-01
17,Thomas Chaney,2761091145.0,15325.0,thomas chaney,1325290502.0,56.0,29.0,2787.0,2017-10-20
18,D. Diamond,3188597016.0,20128.0,d diamond,,3.0,3.0,0.0,2021-08-16
23,Oliver Linton,2575803639.0,14126.0,oliver linton,241749.0,548.0,351.0,7288.0,2017-01-26
24,David Lee,3210885454.0,17369.0,david lee,18014758.0,10.0,10.0,751.0,2021-11-08
25,Mikhail Golosov,2475678860.0,14876.0,mikhail golosov,20089843.0,134.0,66.0,3083.0,2016-08-23
26,Filip Matejka,3121417017.0,17970.0,filip matejka,151321946.0,19.0,17.0,66.0,2021-02-01
27,Jerome Adda,2018278369.0,15541.0,jerome adda,71209653.0,92.0,53.0,1869.0,2016-06-24
30,P. Weil,2987719378.0,18439.0,p weil,1294671590.0,2.0,2.0,133.0,2019-11-22
33,Nicola Gennaioli,207048797.0,14958.0,nicola gennaioli,71209653.0,148.0,73.0,4909.0,2016-06-24
34,Maria Petrova,2159954440.0,18725.0,maria petrova,2799540354.0,12.0,12.0,4.0,2016-06-24
35,Silvana Tenreyro,143162272.0,14533.0,silvana tenreyro,909854389.0,117.0,69.0,6926.0,2016-06-24
36,Pedro Bordalo,2115186379.0,16079.0,pedro bordalo,40120149.0,61.0,32.0,1704.0,2016-06-24
39,A. Manning,3191892983.0,20128.0,a manning,,3.0,3.0,0.0,2021-08-16
41,O. Attanasio,3077779281.0,20103.0,o attanasio,,3.0,3.0,2.0,2020-08-24
42,Melissa Dell,2550152633.0,19447.0,melissa dell,131944076.0,2.0,2.0,102.0,2016-11-30
43,P. Bolton,2676453688.0,20058.0,p bolton,129604602.0,3.0,3.0,6.0,2017-06-30
